Prompt,Completion
"Write me a tweet, under 280 characters, make it interesting and useful","If you grew up playing 

• Diablo 
• Half-Life 
• Runescape 
• Minecraft 
• Watching DBZ 
• Evangelion 
• Akira 
• Star Wars 
• Collecting, trading and re-selling Magic, Yu-Gi-Oh and Pokemon cards...

Then your life was good."
"Write me a tweet, under 280 characters, make it interesting and useful",Just cause I'm a G like that
"Write me a tweet, under 280 characters, make it interesting and useful",I be looking good lately so here ya go
"Write me a tweet, under 280 characters, make it interesting and useful",Finally verfied again 😂🤭
"Write me a tweet, under 280 characters, make it interesting and useful",A pic of a street in Egypt :)
"Write me a tweet, under 280 characters, make it interesting and useful",Maybe I will start posting my live in Egypt.
"Write me a tweet, under 280 characters, make it interesting and useful",Hive is ugly af. Like ew.
"Write me a tweet, under 280 characters, make it interesting and useful",Bro do I look good or what
"Write me a tweet, under 280 characters, make it interesting and useful",Can someone tell me why tf am I up at 1AM like I legit just woke up bruh
"Write me a tweet, under 280 characters, make it interesting and useful",Me and in apex lobbies today
"Write me a tweet, under 280 characters, make it interesting and useful",I just woke up it's 4 AM like help me pls why am I up now.
"Write me a tweet, under 280 characters, make it interesting and useful",Why some customers argue with the cashiers at fast food like they created the prices. Like if you don't like the prices don't buy shit and move on.
"Write me a tweet, under 280 characters, make it interesting and useful",Today defo been interesting dug l day for sure on Twitter. Thanks Elon. ❤️❤️
"Write me a tweet, under 280 characters, make it interesting and useful",I want to change my username give me ideas #nicknameideas
"Write me a tweet, under 280 characters, make it interesting and useful",Bro the check mark is sick ngl
"Write me a tweet, under 280 characters, make it interesting and useful",People be asking me why don't you reply to us. Bro. Honestly this is why.
"Write me a tweet, under 280 characters, make it interesting and useful",When I said big things are coming I meant to my health and over all looks. Here's me a year ago on the left and here's me today! Not a big difference but really feel it. #weightlossjourney #weightloss
"Write me a tweet, under 280 characters, make it interesting and useful",still by far the best clip i've ever came across of genji in overwatch or honestly any other character dude is faster than tracer LOL
"Write me a tweet, under 280 characters, make it interesting and useful",Haven't posted in a hot min so here ya go
"Write me a tweet, under 280 characters, make it interesting and useful",Big changes will be happening soon with my health life. Will keep you updated as I go on this journey. Wish me luck.
"Write me a tweet, under 280 characters, make it interesting and useful",That's some nice coffee ngl
"Write me a tweet, under 280 characters, make it interesting and useful",I'm going to the #UK any advice? I also will be more active on twitter.
"Write me a tweet, under 280 characters, make it interesting and useful",I fell from my roof today :) not a good day
"Write me a tweet, under 280 characters, make it interesting and useful",#APEXmobile I'm different.
"Write me a tweet, under 280 characters, make it interesting and useful",Do you remember when you joined Twitter? I do! #MyTwitterAnniversary
"Write me a tweet, under 280 characters, make it interesting and useful",Can we like leave alone? Like some of y'all just take words that he say and go write a whole article about it. The man is a good man trying to better the world while you here just trying to figure out what you will write next. Have some respect.
"Write me a tweet, under 280 characters, make it interesting and useful",I want to get married to a midget.
"Write me a tweet, under 280 characters, make it interesting and useful",The only game that gives me trouble when installing. Please fix your software or stop making the game.
"Write me a tweet, under 280 characters, make it interesting and useful",This has to be the funniest shit ever #Fortnite meets #ApexLegends
"Write me a tweet, under 280 characters, make it interesting and useful",1 of 20 kills and 45 damage away 4k solo I'm so sad actually #apexlegendsmobile
"Write me a tweet, under 280 characters, make it interesting and useful",Idk was feeling myself lmaooo 😭😂😂
"Write me a tweet, under 280 characters, make it interesting and useful",Imagine hacking bro in #apexlegendsmobile what a dick.
"Write me a tweet, under 280 characters, make it interesting and useful",#apexlegendsmobile I'm coming for that pred watch out
"Write me a tweet, under 280 characters, make it interesting and useful","Them: You have to open up you can't say ""Gang gang"" whenever you trying to hide your feelings.

Me: I'm fine GANG GANG"
"Write me a tweet, under 280 characters, make it interesting and useful",#ukraine vs #Russia be like:
"Write me a tweet, under 280 characters, make it interesting and useful",#Ukraine we stand with you. Be safe. Sending love and prayers. #UkraineRussianWar
"Write me a tweet, under 280 characters, make it interesting and useful",#Ukraine I'm very sorry about this clown of a president. We stand by you. Someone tell Sleepy Joe that they are talking about Ukraine not Iran please. DISGRACE.
"Write me a tweet, under 280 characters, make it interesting and useful",As a member of No Mercy Esports. I as well stand fully with #Ukraine #FreeUkraine I wish my friends who are in Ukraine nothing but safety and ease of mind. is a member of our community she's safe and sound. #NoMercy #NMES
"Write me a tweet, under 280 characters, make it interesting and useful",I'm always tired. I need a nap.
"Write me a tweet, under 280 characters, make it interesting and useful","Join this 🙈🙈
 #finalspace #adultswim"
"Write me a tweet, under 280 characters, make it interesting and useful",If you play #apexlegends and in need of people to play with you. Please join our discord server  we welcoming everyone I want us to create a community. #discord #community
"Write me a tweet, under 280 characters, make it interesting and useful",Gold in 1 day EZ #apex #apexlegends #NoMercy
"Write me a tweet, under 280 characters, make it interesting and useful",So jump out of the window? Gottcha. Thanks  #apex
"Write me a tweet, under 280 characters, make it interesting and useful",Bro my back hurts from the carry wtf.
"Write me a tweet, under 280 characters, make it interesting and useful","Ever get so attached to a T.V. show and when it's done you like ""What am I going to do with my life?"" Cause same."
"Write me a tweet, under 280 characters, make it interesting and useful",Please guys let me find these two #apex #lost #apexlegends #ApexLedgends
"Write me a tweet, under 280 characters, make it interesting and useful",I wasn't going to really post this. But fuck it 2 overwatch POTG #reaper #overwatch #POTG
"Write me a tweet, under 280 characters, make it interesting and useful",God I miss #overwatch Might be coming back idk OLD REAPER TOP 500
"Write me a tweet, under 280 characters, make it interesting and useful",Thank you for this amazing piece. #nft #paras #parashq
"Write me a tweet, under 280 characters, make it interesting and useful",Thank you so much_  for this amazing NFT
"Write me a tweet, under 280 characters, make it interesting and useful",New NFT from_ LOVE IT! #paras #NFTs #NFT
"Write me a tweet, under 280 characters, make it interesting and useful",MAN AND WE LOST. SAD. #apex #apexlegends
"Write me a tweet, under 280 characters, make it interesting and useful",New Jersey need more people like that. No one should be hungry.
"Write me a tweet, under 280 characters, make it interesting and useful",If you can reply to this you have a MASSIVE PP.
"Write me a tweet, under 280 characters, make it interesting and useful",Check out my new NFT on OpenSea!  via
"Write me a tweet, under 280 characters, make it interesting and useful","2 min into the voice chat: ""For the record I'm not really snorting gfuel just thought I would clear that up"" -"
"Write me a tweet, under 280 characters, make it interesting and useful",Apex soon. Mark my words.
"Write me a tweet, under 280 characters, make it interesting and useful",2 games back to back carry? YES SIRRR #apex #apexlegends
"Write me a tweet, under 280 characters, make it interesting and useful",I'm very happy to announce that our app is live on google play store. It's a beta test but I would like you guys to try it out.
"Write me a tweet, under 280 characters, make it interesting and useful",Peace of mind &gt; Relationship
"Write me a tweet, under 280 characters, make it interesting and useful","Dear Apex players,

Please stop hot dropping when you are shit at the game.

Thank you."
"Write me a tweet, under 280 characters, make it interesting and useful",Sometimes you gotta be a lion to be the lamb you really are.
"Write me a tweet, under 280 characters, make it interesting and useful",I don't understand why people be simping for an #Apex character like Loba like shit is so unattractive please sto-... Oh nvm
"Write me a tweet, under 280 characters, make it interesting and useful","I got my custom keyboard today I felt so good today. But then discovered that the ""8"" key doesn't work instead 
of writing 8 it writes ""`12345"" then I got sad now I can't sleep. FML"
"Write me a tweet, under 280 characters, make it interesting and useful",IDK felt like it looks good 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️
"Write me a tweet, under 280 characters, make it interesting and useful",Never seek revenge... rotten fruit will fall by itself.
"Write me a tweet, under 280 characters, make it interesting and useful",First game of the day. is a W
"Write me a tweet, under 280 characters, make it interesting and useful",Been playing apex all day. I will go touch some grass now. Goodbye.
"Write me a tweet, under 280 characters, make it interesting and useful",You either die a Morty or live long enough to become a Rick.
"Write me a tweet, under 280 characters, make it interesting and useful",Bro that flick on the octane with the PK was nutty #apex Then Kraber shot was so sexy MMMMMMMMMMMMM
"Write me a tweet, under 280 characters, make it interesting and useful","""So what if my head is in the cloud, how else could I see everything?"" — Valkyrie"
