Prompt,Completion
"Write me a tweet, under 280 characters, make it interesting and useful","¿Qué es el #emprendimientosocial?

Es un proceso que combina el uso de ideas innovadoras, recursos y habilidades para encontrar soluciones a problemas sociales.

Es una forma de mejorar la sociedad y resolver problemas a través de prácticas empresariales."
"Write me a tweet, under 280 characters, make it interesting and useful","“La vida no es un juego, amigo. La vida es el arte del encuentro, aunque haya tanto desencuentro por la vida”

De la canción “Samba da Bênção”
#AvueltasconloSocial"
"Write me a tweet, under 280 characters, make it interesting and useful",Feliz por estar en la Presentación de Emprendedores y Emprendedoras Sociales de y 2022 con grandes compañeros/as de viaje_mlg #ashokamalaga2022
"Write me a tweet, under 280 characters, make it interesting and useful",#10AniversarioClubCamara
"Write me a tweet, under 280 characters, make it interesting and useful","Como consecuencia del cambio del Reglamento de la Ley de Extranjería, más de 9.300 jóvenes consiguen autorizaciones de residencia y trabajo, lo que supone llegar al 60% del colectivo."
"Write me a tweet, under 280 characters, make it interesting and useful","Por #AndalucíaTierraHermana.
Vota M+J en las #EleccionesAndalucía
#andalucia #andaluciaelecciones #19J #19JAndalucia #AndalucíaFraterna

➡️ Programa:  Spot:"
"Write me a tweet, under 280 characters, make it interesting and useful","Spot Partido Político _mas_justo 

➡️  
#19JAndalucia #19J #EleccionesAndalucia #EleccionesAndaluzas"
"Write me a tweet, under 280 characters, make it interesting and useful","#MePongoAsterisco ✳️ porque apoyo la campaña_info 🙌🏻 

Entra en  y firma con certificado digital."
"Write me a tweet, under 280 characters, make it interesting and useful","Deseando que lleguen siempre estos artículos de 

🎈Sin pasión no pasa nada

Vivamos la pasión pegada al propósito Pero no de esas pasiones alocadas 
Y como siempre digo Apasiónate por lo que hagas y espera los regalos de la VIDA.

¿Y tú? ¿Trabajas con pasión?"
"Write me a tweet, under 280 characters, make it interesting and useful","‘Nave España’ aterriza en Marte. estrena #VillayMarte, un sainete lírico-cómico de chulapos mutantes y un epílogo marciano, ambientado en el Marte castizo. Es una reinvención del género chico en clave ronlalera sobre el incierto futuro de la sociedad e identidad."
"Write me a tweet, under 280 characters, make it interesting and useful","Un descubrimiento conocer a José Pomares 

VISIONARIOS HOY 
Empresas de valor. 
Empresa con valores."
"Write me a tweet, under 280 characters, make it interesting and useful","El #Teatro es magia y es q el sólo hecho de poder estar tan cerca de los actores y ver sus expresiones en vivo, a diferencia de otras artes, tiene la particularidad de despertar verdaderas pasiones, sentimientos y emociones una vez que comienza la obra. 🎭 
¡Feliz #diadelteatro!"
"Write me a tweet, under 280 characters, make it interesting and useful",✳️ Cinco buenas razones para aprobar una regularización extraordinaria de migrantes sin Papeles ⁦⁩ ⁦⁩ ⁦_info⁩ ⁦⁩ ⁦_ONGD⁩ ⁦⁩ ⁦⁩
"Write me a tweet, under 280 characters, make it interesting and useful",Entre Luises y una buena pizza… 😋🍕
"Write me a tweet, under 280 characters, make it interesting and useful","El conflicto entre Rusia y Ucrania, con EEUU de por medio, más tensión con la presencia de tropas rusas a 130 kilómetros de la frontera entre ambos países. Una guerra afecta a todo el mundo por muy lejos que estén. #NoALaGuerra"
"Write me a tweet, under 280 characters, make it interesting and useful",Los peaky blinders en
"Write me a tweet, under 280 characters, make it interesting and useful","Ya hubo manifestaciones mundiales en las calles una vez para decir bien alto ""NO a la Guerra"" 
Un interés geopolítico que no sabemos en qué acabará… ¿y España qué papel juega? #Noalaguerra"
"Write me a tweet, under 280 characters, make it interesting and useful",🎦 Te invito a conocer el partido político de personas comprometidas por lo social_mas_justo ⤵️
